cusip,issueDate,securityType,securityTerm,auctionDateYear,issueDate,maturityDate,datedDate,maturingDate,auctionFormat,closingTimeCompetitive,offeringAmount,allocationPercentage,totalTendered,totalAccepted,bidToCoverRatio,interestRate,highYield,lowYield,averageMedianYield,highDiscountRate,lowDiscountRate,highInvestmentRate,lowInvestmentRate,highPrice,lowPrice,pricePer100,updatedTimestamp
912797SS7,2026-01-27T00:00:00,Bill,4-Week,2026,2026-01-27T00:00:00,2026-02-24T00:00:00,,2026-01-27T00:00:00,Single-Price,11:30 AM,105000000000,12.350000,300845000300,105283325300,2.860000,,,,,3.630000,3.500000,3.691000,,99.717667,,99.717667,2026-01-22T11:34:06
912797TA5,2026-01-27T00:00:00,Bill,8-Week,2026,2026-01-27T00:00:00,2026-03-24T00:00:00,,2026-01-27T00:00:00,Single-Price,11:30 AM,95000000000,17.700000,269910553200,95256925200,2.840000,,,,,3.630000,3.510000,3.701000,,99.435333,,99.435333,2026-01-22T11:34:05
912810UQ9,2026-02-02T00:00:00,Bond,19-Year 10-Month,2026,2026-02-02T00:00:00,2045-11-15T00:00:00,2025-11-15T00:00:00,2026-01-31T00:00:00,Single-Price,01:00 PM,13000000000,3.890000,38126091700,13916190200,2.860000,4.625000,4.8460,2.880000,4.806000,,,,,97.194489,,97.194489,2026-01-21T13:04:32
912797TT4,2026-01-27T00:00:00,Bill,17-Week,2026,2026-01-27T00:00:00,2026-05-26T00:00:00,,2026-01-27T00:00:00,Single-Price,11:30 AM,69000000000,50.470000,206162724600,69187675500,2.990000,,,,,3.580000,3.475000,3.673000,,98.816611,,98.816611,2026-01-21T11:34:05
912797RV1,2026-01-22T00:00:00,Bill,6-Week,2026,2026-01-22T00:00:00,2026-03-05T00:00:00,,2026-01-22T00:00:00,Single-Price,01:00 PM,85000000000,92.660000,208985092100,88693732100,2.420000,,,,,3.630000,3.490000,3.696000,,99.576500,,99.576500,2026-01-20T13:04:01
912797SM0,2026-01-22T00:00:00,Bill,13-Week,2026,2026-01-22T00:00:00,2026-04-23T00:00:00,,2026-01-22T00:00:00,Single-Price,11:30 AM,89000000000,52.270000,243879439500,92867670500,2.700000,,,,,3.590000,3.480000,3.673000,,99.092528,,99.092528,2026-01-20T11:34:09
912797TP2,2026-01-22T00:00:00,Bill,26-Week,2026,2026-01-22T00:00:00,2026-07-23T00:00:00,,2026-01-22T00:00:00,Single-Price,11:30 AM,77000000000,72.790000,230604166100,80346223600,2.950000,,,,,3.520000,3.395000,3.634000,,98.220444,,98.220444,2026-01-20T11:34:08
912797TM9,2026-01-22T00:00:00,Bill,52-Week,2026,2026-01-22T00:00:00,2027-01-21T00:00:00,,2026-01-22T00:00:00,Single-Price,01:00 PM,50000000000,29.550000,173117171400,52172746400,3.420000,,,,,3.390000,3.300000,3.528000,,96.572333,,96.572333,2026-01-20T13:04:00
912797SR9,2026-01-20T00:00:00,Bill,4-Week,2026,2026-01-20T00:00:00,2026-02-17T00:00:00,,2026-01-20T00:00:00,Single-Price,11:30 AM,95000000000,85.020000,277276098300,95266128300,2.920000,,,,,3.595000,3.500000,3.655000,,99.720389,,99.720389,2026-01-15T11:34:13
912797SZ1,2026-01-20T00:00:00,Bill,8-Week,2026,2026-01-20T00:00:00,2026-03-17T00:00:00,,2026-01-20T00:00:00,Single-Price,11:30 AM,90000000000,64.420000,244279196700,90252139700,2.710000,,,,,3.600000,3.500000,3.671000,,99.440000,,99.440000,2026-01-15T11:34:14
912797TS6,2026-01-20T00:00:00,Bill,17-Week,2026,2026-01-20T00:00:00,2026-05-19T00:00:00,,2026-01-20T00:00:00,Single-Price,11:30 AM,69000000000,43.950000,207282368300,69193273300,3.000000,,,,,3.560000,3.450000,3.652000,,98.823222,,98.823222,2026-01-14T11:34:12
912797RU3,2026-01-15T00:00:00,Bill,6-Week,2026,2026-01-15T00:00:00,2026-02-26T00:00:00,,2026-01-15T00:00:00,Single-Price,11:30 AM,75000000000,69.910000,225109059200,77456674200,2.970000,,,,,3.585000,3.480000,3.650000,,99.581750,,99.581750,2026-01-13T11:34:11
912810UP1,2026-01-15T00:00:00,Bond,29-Year 10-Month,2026,2026-01-15T00:00:00,2055-11-15T00:00:00,2025-11-15T00:00:00,2026-01-15T00:00:00,Single-Price,01:00 PM,22000000000,32.350000,59610053800,28403689800,2.420000,4.625000,4.8250,2.880000,4.780000,,,,,96.842230,,96.842230,2026-01-13T13:04:11
912797QD2,2026-01-15T00:00:00,Bill,13-Week,2026,2026-01-15T00:00:00,2026-04-16T00:00:00,,2026-01-15T00:00:00,Single-Price,01:00 PM,86000000000,12.520000,242635300200,88817540200,2.790000,,,,,3.570000,3.450000,3.653000,,99.097583,,99.097583,2026-01-12T13:04:07
912797TN7,2026-01-15T00:00:00,Bill,26-Week,2026,2026-01-15T00:00:00,2026-07-16T00:00:00,,2026-01-15T00:00:00,Single-Price,11:30 AM,77000000000,42.320000,246439474900,79522499700,3.170000,,,,,3.490000,3.400000,3.602000,,98.235611,,98.235611,2026-01-12T11:34:13
91282CPT2,2026-01-15T00:00:00,Note,3-Year,2026,2026-01-15T00:00:00,2029-01-15T00:00:00,2026-01-15T00:00:00,2026-01-15T00:00:00,Single-Price,11:30 AM,58000000000,77.540000,170594802900,74882423700,2.650000,3.500000,3.6090,3.500000,3.560000,,,,,99.692698,,99.692698,2026-01-12T11:34:14
91282CPJ4,2026-01-15T00:00:00,Note,9-Year 10-Month,2026,2026-01-15T00:00:00,2035-11-15T00:00:00,2025-11-15T00:00:00,2026-01-15T00:00:00,Single-Price,01:00 PM,39000000000,93.910000,110943804200,50351940000,2.550000,4.000000,4.1730,4.000000,4.125000,,,,,98.607166,,98.607166,2026-01-12T13:04:06
912797SQ1,2026-01-13T00:00:00,Bill,4-Week,2026,2026-01-13T00:00:00,2026-02-10T00:00:00,,2026-01-13T00:00:00,Single-Price,11:30 AM,80000000000,74.650000,254781911300,80246216800,3.180000,,,,,3.550000,3.450000,3.609000,,99.723889,,99.723889,2026-01-08T11:34:08
912797SY4,2026-01-13T00:00:00,Bill,8-Week,2026,2026-01-13T00:00:00,2026-03-10T00:00:00,,2026-01-13T00:00:00,Single-Price,11:30 AM,80000000000,73.770000,228647346700,80246631700,2.850000,,,,,3.540000,3.450000,3.609000,,99.449333,,99.449333,2026-01-08T11:34:07
912797TR8,2026-01-13T00:00:00,Bill,17-Week,2026,2026-01-13T00:00:00,2026-05-12T00:00:00,,2026-01-13T00:00:00,Single-Price,11:30 AM,69000000000,60.450000,208299324300,69212558300,3.020000,,,,,3.510000,3.420000,3.601000,,98.839750,,98.839750,2026-01-07T11:34:10
912797PM3,2026-01-08T00:00:00,Bill,6-Week,2026,2026-01-08T00:00:00,2026-02-19T00:00:00,,2026-01-08T00:00:00,Single-Price,11:30 AM,75000000000,0.410000,220484193000,78863448000,2.890000,,,,,3.560000,3.400000,3.624000,,99.584667,,99.584667,2026-01-06T11:34:05
912797SL2,2026-01-08T00:00:00,Bill,13-Week,2026,2026-01-08T00:00:00,2026-04-09T00:00:00,,2026-01-08T00:00:00,Single-Price,11:30 AM,86000000000,77.130000,248267933200,90430132400,2.840000,,,,,3.540000,3.440000,3.622000,,99.105167,,99.105167,2026-01-05T11:34:10
912797RF6,2026-01-08T00:00:00,Bill,26-Week,2026,2026-01-08T00:00:00,2026-07-09T00:00:00,,2026-01-08T00:00:00,Single-Price,11:30 AM,77000000000,12.960000,256155750600,80967198600,3.280000,,,,,3.475000,3.380000,3.586000,,98.243194,,98.243194,2026-01-05T11:34:11
912797SJ7,2026-01-06T00:00:00,Bill,4-Week,2025,2026-01-06T00:00:00,2026-02-03T00:00:00,,2026-01-06T00:00:00,Single-Price,10:00 AM,80000000000,73.150000,232627571200,80251106700,2.900000,,,,,3.590000,3.490000,3.650000,,99.720778,,99.720778,2025-12-31T10:04:51
912797ST5,2026-01-06T00:00:00,Bill,8-Week,2025,2026-01-06T00:00:00,2026-03-03T00:00:00,,2026-01-06T00:00:00,Single-Price,10:00 AM,80000000000,64.960000,226786580900,80251798500,2.830000,,,,,3.580000,3.490000,3.650000,,99.443111,,99.443111,2025-12-31T10:04:52
912797TL1,2026-01-06T00:00:00,Bill,17-Week,2025,2026-01-06T00:00:00,2026-05-05T00:00:00,,2026-01-06T00:00:00,Single-Price,11:30 AM,69000000000,87.120000,214626144400,69215996400,3.110000,,,,,3.540000,3.450000,3.632000,,98.829833,,98.829833,2025-12-31T11:34:45
912797RT6,2026-01-02T00:00:00,Bill,6-Week,2025,2026-01-02T00:00:00,2026-02-12T00:00:00,,2026-01-02T00:00:00,Single-Price,11:30 AM,75000000000,87.370000,226118949600,79447596600,2.960000,,,,,3.575000,3.450000,3.639000,,99.592847,,99.592847,2025-12-30T11:34:48
912797SD0,2026-01-02T00:00:00,Bill,13-Week,2025,2026-01-02T00:00:00,2026-04-02T00:00:00,,2026-01-02T00:00:00,Single-Price,11:30 AM,86000000000,74.040000,233737635400,91101011800,2.660000,,,,,3.570000,3.450000,3.652000,,99.107500,,99.107500,2025-12-29T11:34:50
912797TF4,2026-01-02T00:00:00,Bill,26-Week,2025,2026-01-02T00:00:00,2026-07-02T00:00:00,,2026-01-02T00:00:00,Single-Price,11:30 AM,77000000000,87.640000,198567315100,81566251100,2.520000,,,,,3.500000,3.370000,3.612000,,98.240278,,98.240278,2025-12-29T11:34:49
91282CPQ8,2025-12-31T00:00:00,Note,7-Year,2025,2025-12-31T00:00:00,2032-12-31T00:00:00,2025-12-31T00:00:00,2025-12-31T00:00:00,Single-Price,11:30 AM,44000000000,30.730000,115101759100,48689313800,2.510000,3.875000,3.9300,3.780000,3.881000,,,,,99.666257,,99.666257,2025-12-24T11:34:17
912797SH1,2025-12-30T00:00:00,Bill,4-Week,2025,2025-12-30T00:00:00,2026-01-27T00:00:00,,2025-12-30T00:00:00,Single-Price,10:00 AM,80000000000,83.480000,251865892300,80276252900,3.140000,,,,,3.570000,3.500000,3.630000,,99.722333,,99.722333,2025-12-24T10:04:14
912797SS7,2025-12-30T00:00:00,Bill,8-Week,2025,2025-12-30T00:00:00,2026-02-24T00:00:00,,2025-12-30T00:00:00,Single-Price,10:00 AM,80000000000,83.800000,234091889900,80276277900,2.920000,,,,,3.585000,3.500000,3.655000,,99.442333,,99.442333,2025-12-24T10:04:13
912797TK3,2025-12-30T00:00:00,Bill,17-Week,2025,2025-12-30T00:00:00,2026-04-28T00:00:00,,2025-12-30T00:00:00,Single-Price,11:30 AM,69000000000,84.920000,203553523600,69238860800,2.950000,,,,,3.555000,3.450000,3.647000,,98.824875,,98.824875,2025-12-24T11:34:16
91282CPR6,2025-12-31T00:00:00,Note,5-Year,2025,2025-12-31T00:00:00,2030-12-31T00:00:00,2025-12-31T00:00:00,2025-12-31T00:00:00,Single-Price,01:00 PM,70000000000,68.450000,171901690500,77460293000,2.350000,3.625000,3.7470,3.600000,3.692000,,,,,99.448418,,99.448418,2025-12-23T13:04:10
912797RL3,2025-12-26T00:00:00,Bill,6-Week,2025,2025-12-26T00:00:00,2026-02-05T00:00:00,,2025-12-26T00:00:00,Single-Price,11:30 AM,75000000000,9.950000,218518221300,78448183800,2.870000,,,,,3.580000,3.470000,3.645000,,99.592278,,99.592278,2025-12-23T11:34:05
912797TC1,2025-12-26T00:00:00,Bill,52-Week,2025,2025-12-26T00:00:00,2026-12-24T00:00:00,,2025-12-26T00:00:00,Single-Price,11:30 AM,50000000000,70.250000,189207831000,52298756000,3.740000,,,,,3.380000,3.300000,3.517000,,96.591833,,96.591833,2025-12-23T11:34:04
91282CPG0,2025-12-26T00:00:00,Note,1-Year 10-Month,2025,2025-12-26T00:00:00,2027-10-31T00:00:00,2025-10-31T00:00:00,2025-12-26T00:00:00,Single-Price,01:00 PM,28000000000,13.580000,105102894500,28000004500,3.750000,,,,,,,,,100.089539,,100.089539,2025-12-23T13:04:11
91282CPS4,2025-12-31T00:00:00,Note,2-Year,2025,2025-12-31T00:00:00,2027-12-31T00:00:00,2025-12-31T00:00:00,2025-12-31T00:00:00,Single-Price,01:00 PM,69000000000,6.200000,182832847100,76353747100,2.540000,3.375000,3.4990,3.380000,3.445000,,,,,99.762479,,99.762479,2025-12-22T13:04:07
912797SC2,2025-12-26T00:00:00,Bill,13-Week,2025,2025-12-26T00:00:00,2026-03-26T00:00:00,,2025-12-26T00:00:00,Single-Price,11:30 AM,86000000000,45.690000,250221981900,89954244200,2.860000,,,,,3.560000,3.450000,3.642000,,99.110000,,99.110000,2025-12-22T11:34:09
912797TE7,2025-12-26T00:00:00,Bill,26-Week,2025,2025-12-26T00:00:00,2026-06-25T00:00:00,,2025-12-26T00:00:00,Single-Price,11:30 AM,77000000000,44.330000,248452887400,80540692500,3.180000,,,,,3.485000,3.400000,3.596000,,98.247819,,98.247819,2025-12-22T11:34:08
91282CPH8,2025-12-31T00:00:00,Note,4-Year 10-Month,2025,2025-12-31T00:00:00,2030-10-15T00:00:00,2025-10-15T00:00:00,2025-12-31T00:00:00,Single-Price,01:00 PM,24000000000,95.960000,65444072400,26557802400,2.620000,1.125000,1.4330,1.325000,1.379000,,,,,99.222140,,99.222140,2025-12-18T13:04:16
912797SG3,2025-12-23T00:00:00,Bill,4-Week,2025,2025-12-23T00:00:00,2026-01-20T00:00:00,,2025-12-23T00:00:00,Single-Price,11:30 AM,80000000000,2.930000,262875504900,80257750400,3.280000,,,,,3.580000,3.500000,3.640000,,99.721556,,99.721556,2025-12-18T11:34:19
912797SR9,2025-12-23T00:00:00,Bill,8-Week,2025,2025-12-23T00:00:00,2026-02-17T00:00:00,,2025-12-23T00:00:00,Single-Price,11:30 AM,80000000000,86.570000,240816001500,80257826500,3.010000,,,,,3.585000,3.490000,3.655000,,99.442333,,99.442333,2025-12-18T11:34:18
912810UQ9,2025-12-31T00:00:00,Bond,19-Year 11-Month,2025,2025-12-31T00:00:00,2045-11-15T00:00:00,2025-11-15T00:00:00,2025-12-31T00:00:00,Single-Price,01:00 PM,13000000000,3.160000,36064830400,14385501500,2.670000,4.625000,4.7980,3.880000,4.746000,,,,,97.789241,,97.789241,2025-12-17T13:04:04
912797TJ6,2025-12-23T00:00:00,Bill,17-Week,2025,2025-12-23T00:00:00,2026-04-21T00:00:00,,2025-12-23T00:00:00,Single-Price,11:30 AM,69000000000,87.730000,225857080400,69222773200,3.270000,,,,,3.540000,3.450000,3.632000,,98.829833,,98.829833,2025-12-17T11:34:08
912797RK5,2025-12-18T00:00:00,Bill,6-Week,2025,2025-12-18T00:00:00,2026-01-29T00:00:00,,2025-12-18T00:00:00,Single-Price,11:30 AM,75000000000,57.750000,207761284100,77648534100,2.730000,,,,,3.625000,3.510000,3.691000,,99.577083,,99.577083,2025-12-16T11:34:16
912797PV3,2025-12-18T00:00:00,Bill,13-Week,2025,2025-12-18T00:00:00,2026-03-19T00:00:00,,2025-12-18T00:00:00,Single-Price,11:30 AM,86000000000,71.270000,233872195600,89037403100,2.680000,,,,,3.560000,3.450000,3.642000,,99.100111,,99.100111,2025-12-15T11:34:18
912797TD9,2025-12-18T00:00:00,Bill,26-Week,2025,2025-12-18T00:00:00,2026-06-18T00:00:00,,2025-12-18T00:00:00,Single-Price,11:30 AM,77000000000,4.570000,221087152000,79719252000,2.840000,,,,,3.495000,3.350000,3.607000,,98.233083,,98.233083,2025-12-15T11:34:17
912797SF5,2025-12-16T00:00:00,Bill,4-Week,2025,2025-12-16T00:00:00,2026-01-13T00:00:00,,2025-12-16T00:00:00,Single-Price,11:30 AM,85000000000,7.360000,252508265100,85265825100,2.970000,,,,,3.610000,3.515000,3.670000,,99.719222,,99.719222,2025-12-11T11:34:08
912797SQ1,2025-12-16T00:00:00,Bill,8-Week,2025,2025-12-16T00:00:00,2026-02-10T00:00:00,,2025-12-16T00:00:00,Single-Price,11:30 AM,80000000000,71.650000,223485070000,80250507500,2.790000,,,,,3.610000,3.500000,3.681000,,99.438444,,99.438444,2025-12-11T11:34:09
912810UP1,2025-12-15T00:00:00,Bond,29-Year 11-Month,2025,2025-12-15T00:00:00,2055-11-15T00:00:00,2025-11-15T00:00:00,2025-12-15T00:00:00,Single-Price,01:00 PM,22000000000,97.760000,52027373100,22000005100,2.360000,4.625000,4.7730,3.880000,4.720000,,,,,97.647861,,97.647861,2025-12-11T13:04:17
912797TH0,2025-12-16T00:00:00,Bill,17-Week,2025,2025-12-16T00:00:00,2026-04-14T00:00:00,,2025-12-16T00:00:00,Single-Price,11:30 AM,69000000000,97.450000,209812637500,69216332500,3.040000,,,,,3.610000,3.520000,3.704000,,98.806694,,98.806694,2025-12-10T11:34:20
91282CPJ4,2025-12-15T00:00:00,Note,9-Year 11-Month,2025,2025-12-15T00:00:00,2035-11-15T00:00:00,2025-11-15T00:00:00,2025-12-15T00:00:00,Single-Price,01:00 PM,39000000000,70.500000,99450938600,39000048600,2.550000,4.000000,4.1750,4.070000,4.120000,,,,,98.585013,,98.585013,2025-12-09T13:04:02
912797PD3,2025-12-11T00:00:00,Bill,6-Week,2025,2025-12-11T00:00:00,2026-01-22T00:00:00,,2025-12-11T00:00:00,Single-Price,11:30 AM,75000000000,32.560000,219986034700,78233786700,2.890000,,,,,3.650000,3.540000,3.717000,,99.574167,,99.574167,2025-12-09T11:34:05
91282CPP0,2025-12-15T00:00:00,Note,3-Year,2025,2025-12-15T00:00:00,2028-12-15T00:00:00,2025-12-15T00:00:00,2025-12-15T00:00:00,Single-Price,01:00 PM,58000000000,89.650000,153153232800,58000067800,2.640000,3.500000,3.6140,1.888000,3.570000,,,,,99.678628,,99.678628,2025-12-08T13:04:14
912797SB4,2025-12-11T00:00:00,Bill,13-Week,2025,2025-12-11T00:00:00,2026-03-12T00:00:00,,2025-12-11T00:00:00,Single-Price,11:30 AM,86000000000,31.800000,238573654600,89708704600,2.730000,,,,,3.650000,3.550000,3.735000,,99.077361,,99.077361,2025-12-08T11:34:00
912797QX8,2025-12-11T00:00:00,Bill,26-Week,2025,2025-12-11T00:00:00,2026-06-11T00:00:00,,2025-12-11T00:00:00,Single-Price,11:30 AM,77000000000,82.340000,235156095300,80320349300,3.010000,,,,,3.580000,3.485000,3.697000,,98.190111,,98.190111,2025-12-08T11:33:59
912797SE8,2025-12-09T00:00:00,Bill,4-Week,2025,2025-12-09T00:00:00,2026-01-06T00:00:00,,2025-12-09T00:00:00,Single-Price,11:30 AM,90000000000,40.970000,242392407400,90276142400,2.690000,,,,,3.680000,3.550000,3.742000,,99.713778,,99.713778,2025-12-04T11:33:14
912797SJ7,2025-12-09T00:00:00,Bill,8-Week,2025,2025-12-09T00:00:00,2026-02-03T00:00:00,,2025-12-09T00:00:00,Single-Price,11:30 AM,80000000000,87.020000,239041556100,80245660100,2.980000,,,,,3.620000,3.510000,3.691000,,99.436889,,99.436889,2025-12-04T11:33:13
912797A72,2025-12-08T00:00:00,Bill,2-Day,2025,2025-12-08T00:00:00,2025-12-10T00:00:00,,2025-12-08T00:00:00,Single-Price,01:00 PM,25000000,27.700000,108000000,25000500,4.320000,,,,,3.720000,3.650000,3.773000,,99.979333,,99.979333,2025-12-04T14:31:52
912797TG2,2025-12-09T00:00:00,Bill,17-Week,2025,2025-12-09T00:00:00,2026-04-07T00:00:00,,2025-12-09T00:00:00,Single-Price,11:30 AM,69000000000,53.300000,218644482000,69211845000,3.170000,,,,,3.620000,3.400000,3.715000,,98.803389,,98.803389,2025-12-03T11:34:12
912797RJ8,2025-12-04T00:00:00,Bill,6-Week,2025,2025-12-04T00:00:00,2026-01-15T00:00:00,,2025-12-04T00:00:00,Single-Price,11:30 AM,75000000000,97.380000,238447057500,77023349800,3.150000,,,,,3.700000,3.610000,3.768000,,99.568333,,99.568333,2025-12-02T11:34:09
912797RV1,2025-12-04T00:00:00,Bill,13-Week,2025,2025-12-04T00:00:00,2026-03-05T00:00:00,,2025-12-04T00:00:00,Single-Price,11:30 AM,86000000000,81.990000,245069151600,88319685200,2.820000,,,,,3.725000,3.625000,3.813000,,99.058403,,99.058403,2025-12-01T11:34:21
912797SX6,2025-12-04T00:00:00,Bill,26-Week,2025,2025-12-04T00:00:00,2026-06-04T00:00:00,,2025-12-04T00:00:00,Single-Price,11:30 AM,77000000000,41.500000,234795990900,79076590900,3.020000,,,,,3.635000,3.550000,3.754000,,98.162306,,98.162306,2025-12-01T11:34:20
912797RZ2,2025-12-02T00:00:00,Bill,4-Week,2025,2025-12-02T00:00:00,2025-12-30T00:00:00,,2025-12-02T00:00:00,Single-Price,10:00 AM,100000000000,35.310000,277448627500,100310892500,2.770000,,,,,3.905000,3.800000,3.971000,,99.696278,,99.696278,2025-11-26T10:04:12
912797SH1,2025-12-02T00:00:00,Bill,8-Week,2025,2025-12-02T00:00:00,2026-01-27T00:00:00,,2025-12-02T00:00:00,Single-Price,10:00 AM,85000000000,28.830000,243796472000,85264539500,2.870000,,,,,3.840000,3.740000,3.917000,,99.402667,,99.402667,2025-11-26T10:04:11
