total_articles,fiscal_articles,tariff_fiscal_articles,non_tariff_fiscal_articles,rate,tariff_rate,non_tariff_rate,fiscal_policy_index,tariff_fiscal_index,non_tariff_fiscal_index
21,7,3,4,0.3333333333333333,0.14285714285714285,0.19047619047619047,102.01841262275255,68.57523499437586,160.8525616084449
20,4,1,3,0.2,0.05,0.15,61.211047573651534,24.001332248031552,126.67139226665034
18,7,5,2,0.3888888888888889,0.2777777777777778,0.1111111111111111,119.02148139321132,133.34073471128642,93.83066093825951
15,6,2,4,0.4,0.13333333333333333,0.26666666666666666,122.42209514730307,64.00355266141747,225.19358625182284
18,4,0,4,0.2222222222222222,0.0,0.2222222222222222,68.01227508183504,0.0,187.66132187651903
24,9,1,8,0.375,0.041666666666666664,0.3333333333333333,114.77071420059663,20.00111020669296,281.49198281477857
17,3,1,2,0.17647058823529413,0.058823529411764705,0.11764705882352941,54.009747859104294,28.236861468272416,99.35011158168655
22,5,3,2,0.22727272727272727,0.13636363636363635,0.09090909090909091,69.55800860642219,65.45817885826787,76.77054076766689
20,7,3,4,0.35,0.15,0.2,107.11933325389018,72.00399674409465,168.89518968886713
16,5,4,1,0.3125,0.25,0.0625,95.64226183383052,120.00666124015777,52.779746777770974
20,6,4,2,0.3,0.2,0.1,91.8165713604773,96.00532899212621,84.44759484443357
21,7,2,5,0.3333333333333333,0.09523809523809523,0.23809523809523808,102.01841262275255,45.71682332958391,201.0657020105561
24,6,6,0,0.25,0.25,0.0,76.51380946706442,120.00666124015777,0.0
23,7,4,3,0.30434782608695654,0.17391304347826086,0.13043478260869565,93.1472463077306,83.48289477576192,110.14903675360901
15,6,5,1,0.4,0.3333333333333333,0.06666666666666667,122.42209514730307,160.00888165354368,56.29839656295571
16,7,5,2,0.4375,0.3125,0.125,133.89916656736273,150.0083265501972,105.55949355554195
15,9,3,6,0.6,0.2,0.4,183.6331427209546,96.00532899212621,337.79037937773427
17,6,3,3,0.35294117647058826,0.17647058823529413,0.17647058823529413,108.01949571820859,84.71058440481725,149.02516737252984
27,10,8,2,0.37037037037037035,0.2962962962962963,0.07407407407407407,113.3537918030584,142.23011702537215,62.55377395883968
22,7,3,4,0.3181818181818182,0.13636363636363635,0.18181818181818182,97.38121204899107,65.45817885826787,153.54108153533377
21,9,5,4,0.42857142857142855,0.23809523809523808,0.19047619047619047,131.16653051496755,114.29205832395976,160.8525616084449
18,6,4,2,0.3333333333333333,0.2222222222222222,0.1111111111111111,102.01841262275255,106.67258776902912,93.83066093825951
18,5,1,4,0.2777777777777778,0.05555555555555555,0.2222222222222222,85.0153438522938,26.66814694225728,187.66132187651903
17,6,3,3,0.35294117647058826,0.17647058823529413,0.17647058823529413,108.01949571820859,84.71058440481725,149.02516737252984
17,4,1,3,0.23529411764705882,0.058823529411764705,0.17647058823529413,72.0129971454724,28.236861468272416,149.02516737252984
24,8,2,6,0.3333333333333333,0.08333333333333333,0.25,102.01841262275255,40.00222041338592,211.1189871110839
18,7,3,4,0.3888888888888889,0.16666666666666666,0.2222222222222222,119.02148139321132,80.00444082677184,187.66132187651903
18,7,3,4,0.3888888888888889,0.16666666666666666,0.2222222222222222,119.02148139321132,80.00444082677184,187.66132187651903
22,6,6,0,0.2727272727272727,0.2727272727272727,0.0,83.46961032770663,130.91635771653574,0.0
22,7,5,2,0.3181818181818182,0.22727272727272727,0.09090909090909091,97.38121204899107,109.0969647637798,76.77054076766689
24,6,4,2,0.25,0.16666666666666666,0.08333333333333333,76.51380946706442,80.00444082677184,70.37299570369464
22,4,2,2,0.18181818181818182,0.09090909090909091,0.09090909090909091,55.64640688513776,43.63878590551192,76.77054076766689
25,9,4,5,0.36,0.16,0.2,110.17988563257275,76.80426319370098,168.89518968886713
17,6,4,2,0.35294117647058826,0.23529411764705882,0.11764705882352941,108.01949571820859,112.94744587308966,99.35011158168655
16,5,1,4,0.3125,0.0625,0.25,95.64226183383052,30.001665310039442,211.1189871110839
22,8,2,6,0.36363636363636365,0.09090909090909091,0.2727272727272727,111.29281377027552,43.63878590551192,230.3116223030006
20,2,1,1,0.1,0.05,0.05,30.605523786825767,24.001332248031552,42.223797422216784
24,5,3,2,0.20833333333333334,0.125,0.08333333333333333,63.76150788922035,60.003330620078884,70.37299570369464
31,4,1,3,0.12903225806451613,0.03225806451612903,0.0967741935483871,39.49099843461389,15.484730482601003,81.7234788817099
18,6,2,4,0.3333333333333333,0.1111111111111111,0.2222222222222222,102.01841262275255,53.33629388451456,187.66132187651903
21,4,2,2,0.19047619047619047,0.09523809523809523,0.09523809523809523,58.29623578443003,45.71682332958391,80.42628080422244
24,4,4,0,0.16666666666666666,0.16666666666666666,0.0,51.009206311376275,80.00444082677184,0.0
19,6,5,1,0.3157894736842105,0.2631578947368421,0.05263157894736842,96.64902248471294,126.32280130542921,44.44610254970188
30,6,4,2,0.2,0.13333333333333333,0.06666666666666667,61.211047573651534,64.00355266141747,56.29839656295571
15,3,2,1,0.2,0.13333333333333333,0.06666666666666667,61.211047573651534,64.00355266141747,56.29839656295571
22,8,7,1,0.36363636363636365,0.3181818181818182,0.045454545454545456,111.29281377027552,152.7357506692917,38.38527038383344
28,4,3,1,0.14285714285714285,0.10714285714285714,0.03571428571428571,43.722176838322525,51.4314262457819,30.159855301583416
20,11,8,3,0.55,0.4,0.15,168.33038082754172,192.01065798425242,126.67139226665034
24,9,6,3,0.375,0.25,0.125,114.77071420059663,120.00666124015777,105.55949355554195
25,5,4,1,0.2,0.16,0.04,61.211047573651534,76.80426319370098,33.779037937773424
26,5,5,0,0.19230769230769232,0.19230769230769232,0.0,58.856776513126476,92.3128163385829,0.0
22,4,4,0,0.18181818181818182,0.18181818181818182,0.0,55.64640688513776,87.27757181102383,0.0
17,8,6,2,0.47058823529411764,0.35294117647058826,0.11764705882352941,144.0259942909448,169.4211688096345,99.35011158168655
17,5,3,2,0.29411764705882354,0.17647058823529413,0.11764705882352941,90.0162464318405,84.71058440481725,99.35011158168655
17,2,1,1,0.11764705882352941,0.058823529411764705,0.058823529411764705,36.0064985727362,28.236861468272416,49.675055790843274
12,5,3,2,0.4166666666666667,0.25,0.16666666666666666,127.5230157784407,120.00666124015777,140.74599140738928
21,6,2,4,0.2857142857142857,0.09523809523809523,0.19047619047619047,87.44435367664505,45.71682332958391,160.8525616084449
22,4,3,1,0.18181818181818182,0.13636363636363635,0.045454545454545456,55.64640688513776,65.45817885826787,38.38527038383344
25,10,5,5,0.4,0.2,0.2,122.42209514730307,96.00532899212621,168.89518968886713
19,7,6,1,0.3684210526315789,0.3157894736842105,0.05263157894736842,112.75719289883178,151.58736156651506,44.44610254970188
24,6,5,1,0.25,0.20833333333333334,0.041666666666666664,76.51380946706442,100.0055510334648,35.18649785184732
24,7,5,2,0.2916666666666667,0.20833333333333334,0.08333333333333333,89.26611104490848,100.0055510334648,70.37299570369464
18,5,4,1,0.2777777777777778,0.2222222222222222,0.05555555555555555,85.0153438522938,106.67258776902912,46.915330469129756
30,10,7,3,0.3333333333333333,0.23333333333333334,0.1,102.01841262275255,112.00621715748058,84.44759484443357
25,7,5,2,0.28,0.2,0.08,85.69546660311215,96.00532899212621,67.55807587554685
18,4,2,2,0.2222222222222222,0.1111111111111111,0.1111111111111111,68.01227508183504,53.33629388451456,93.83066093825951
25,6,2,4,0.24,0.08,0.16,73.45325708838185,38.40213159685049,135.1161517510937
18,3,2,1,0.16666666666666666,0.1111111111111111,0.05555555555555555,51.009206311376275,53.33629388451456,46.915330469129756
17,3,2,1,0.17647058823529413,0.11764705882352941,0.058823529411764705,54.009747859104294,56.47372293654483,49.675055790843274
21,8,4,4,0.38095238095238093,0.19047619047619047,0.19047619047619047,116.59247156886006,91.43364665916782,160.8525616084449
22,6,2,4,0.2727272727272727,0.09090909090909091,0.18181818181818182,83.46961032770663,43.63878590551192,153.54108153533377
26,7,4,3,0.2692307692307692,0.15384615384615385,0.11538461538461539,82.39948711837705,73.85025307086633,97.43953251280797
21,6,4,2,0.2857142857142857,0.19047619047619047,0.09523809523809523,87.44435367664505,91.43364665916782,80.42628080422244
22,5,2,3,0.22727272727272727,0.09090909090909091,0.13636363636363635,69.55800860642219,43.63878590551192,115.1558111515003
16,6,2,4,0.375,0.125,0.25,114.77071420059663,60.003330620078884,211.1189871110839
19,6,3,3,0.3157894736842105,0.15789473684210525,0.15789473684210525,96.64902248471294,75.79368078325753,133.33830764910564
17,6,1,5,0.35294117647058826,0.058823529411764705,0.29411764705882354,108.01949571820859,28.236861468272416,248.3752789542164
23,4,1,3,0.17391304347826086,0.043478260869565216,0.13043478260869565,53.22699789013177,20.87072369394048,110.14903675360901
22,9,8,1,0.4090909090909091,0.36363636363636365,0.045454545454545456,125.20441549155996,174.55514362204767,38.38527038383344
19,5,2,3,0.2631578947368421,0.10526315789473684,0.15789473684210525,80.54085207059411,50.52912052217169,133.33830764910564
19,5,1,4,0.2631578947368421,0.05263157894736842,0.21052631578947367,80.54085207059411,25.264560261085844,177.7844101988075
21,7,5,2,0.3333333333333333,0.23809523809523808,0.09523809523809523,102.01841262275255,114.29205832395976,80.42628080422244
22,5,2,3,0.22727272727272727,0.09090909090909091,0.13636363636363635,69.55800860642219,43.63878590551192,115.1558111515003
21,5,3,2,0.23809523809523808,0.14285714285714285,0.09523809523809523,72.87029473053754,68.57523499437586,80.42628080422244
22,8,4,4,0.36363636363636365,0.18181818181818182,0.18181818181818182,111.29281377027552,87.27757181102383,153.54108153533377
27,9,6,3,0.3333333333333333,0.2222222222222222,0.1111111111111111,102.01841262275255,106.67258776902912,93.83066093825951
21,6,4,2,0.2857142857142857,0.19047619047619047,0.09523809523809523,87.44435367664505,91.43364665916782,80.42628080422244
21,9,5,4,0.42857142857142855,0.23809523809523808,0.19047619047619047,131.16653051496755,114.29205832395976,160.8525616084449
24,4,3,1,0.16666666666666666,0.125,0.041666666666666664,51.009206311376275,60.003330620078884,35.18649785184732
25,6,3,3,0.24,0.12,0.12,73.45325708838185,57.60319739527573,101.33711381332027
16,5,4,1,0.3125,0.25,0.0625,95.64226183383052,120.00666124015777,52.779746777770974
21,5,2,3,0.23809523809523808,0.09523809523809523,0.14285714285714285,72.87029473053754,45.71682332958391,120.63942120633367
20,4,2,2,0.2,0.1,0.1,61.211047573651534,48.002664496063105,84.44759484443357
26,10,5,5,0.38461538461538464,0.19230769230769232,0.19230769230769232,117.71355302625295,92.3128163385829,162.39922085467995
24,6,2,4,0.25,0.08333333333333333,0.16666666666666666,76.51380946706442,40.00222041338592,140.74599140738928
16,4,2,2,0.25,0.125,0.125,76.51380946706442,60.003330620078884,105.55949355554195
